"month_start","tagname","group_name","questions","answers","total_q_a"
2020-07-01,python,alto_recurso,26180,33369,59549
2020-07-01,bash,baixo_moderado,989,1373,2362
2020-07-01,dart,baixo_moderado,1662,2294,3956
2020-07-01,julia,baixo_moderado,144,167,311
2020-07-01,r,baixo_moderado,4933,6108,11041
2020-08-01,c#,alto_recurso,7038,7945,14983
2020-08-01,java,alto_recurso,9262,11133,20395
2020-08-01,javascript,alto_recurso,17943,23476,41419
2020-08-01,python,alto_recurso,22921,29435,52356
2020-08-01,bash,baixo_moderado,891,1298,2189
2020-08-01,dart,baixo_moderado,1684,2445,4129
2020-08-01,julia,baixo_moderado,139,156,295
2020-08-01,r,baixo_moderado,4487,5473,9960
2020-09-01,c#,alto_recurso,6430,7013,13443
2020-09-01,java,alto_recurso,8897,10577,19474
2020-09-01,javascript,alto_recurso,16700,21535,38235
2020-09-01,python,alto_recurso,21618,27107,48725
2020-09-01,bash,baixo_moderado,889,1304,2193
2020-09-01,dart,baixo_moderado,1435,1932,3367
2020-09-01,julia,baixo_moderado,109,139,248
2020-09-01,r,baixo_moderado,4749,5943,10692
2020-10-01,c#,alto_recurso,6167,6785,12952
2020-10-01,java,alto_recurso,8894,10856,19750
2020-10-01,javascript,alto_recurso,16350,21047,37397
2020-10-01,python,alto_recurso,22676,28824,51500
2020-10-01,bash,baixo_moderado,984,1353,2337
2020-10-01,dart,baixo_moderado,1499,2042,3541
2020-10-01,julia,baixo_moderado,171,209,380
2020-10-01,r,baixo_moderado,5063,6310,11373
2020-11-01,c#,alto_recurso,5956,6766,12722
2020-11-01,java,alto_recurso,8439,9914,18353
2020-11-01,javascript,alto_recurso,15440,19578,35018
2020-11-01,python,alto_recurso,22047,27722,49769
2020-11-01,bash,baixo_moderado,932,1328,2260
2020-11-01,dart,baixo_moderado,1384,2033,3417
2020-11-01,julia,baixo_moderado,184,240,424
2020-11-01,r,baixo_moderado,4797,5795,10592
2020-12-01,c#,alto_recurso,5715,6456,12171
2020-12-01,java,alto_recurso,7767,9301,17068
2020-12-01,javascript,alto_recurso,15932,20230,36162
2020-12-01,python,alto_recurso,22059,27975,50034
2020-12-01,bash,baixo_moderado,761,1096,1857
2020-12-01,dart,baixo_moderado,1399,2015,3414
2020-12-01,julia,baixo_moderado,174,214,388
2020-12-01,r,baixo_moderado,4328,5424,9752
2021-01-01,c#,alto_recurso,6159,6815,12974
2021-01-01,java,alto_recurso,7996,9856,17852
2021-01-01,javascript,alto_recurso,16777,21340,38117
2021-01-01,python,alto_recurso,22763,29100,51863
2021-01-01,bash,baixo_moderado,761,1021,1782
2021-01-01,dart,baixo_moderado,1435,2080,3515
2021-01-01,julia,baixo_moderado,229,255,484
2021-01-01,r,baixo_moderado,4335,5306,9641
